feature,importance
AL_239,0.002135943132846515
AL_230,0.00212110138923848
AL_219,0.0021176708256943596
AL_194,0.002096343264319807
AL_66,0.0020842744609912258
AL_199,0.0020759656201484087
AL_69,0.002075957247417124
AL_283,0.0020352656735925854
AL_255,0.002028554865696992
AL_271,0.0019747445985859183
AL_190,0.0019077528884770198
AL_51,0.0018634165945799572
AL_275,0.0018425340298919163
AL_57,0.0018373047576332596
AL_235,0.001811537071019973
AL_247,0.0017985261080325835
AL_279,0.0017602502884278709
AL_291,0.0017600011725085942
AL_203,0.001751680915656614
AL_329,0.0016667411894268759
AL_321,0.0016201611607269003
AL_334,0.0015947796879596063
AL_310,0.0015413323135903064
AL_325,0.0013967828064488006
AL_326,0.001318088242891663
CAT_2,0.0012633879968170611
AL_300,0.0012601048367700486
AL_305,0.0012498582794244928
AL_63,0.001199216709965411
AL_308,0.0011708792537713688
AL_314,0.0011440767779652616
AL_330,0.0011340761511362
AL_1,0.0010834710204757957
AL_72,0.001071821594892901
AL_39,0.0010409818450367364
AL_333,0.001038952322980806
AL_297,0.000986155045620067
AL_60,0.0009697591437674762
AL_105,0.0009539786618368935
is_missing_AL_183,0.00094941663885552
AL_5,0.0009435433556151633
AL_129,0.0009328354049099382
AL_318,0.0009131390611933837
AL_322,0.000901449377826793
is_missing_AL_184,0.0008417747080300411
AL_295,0.0008336603679881625
AL_54,0.0008171323188517522
is_missing_AL_250,0.0007968846102524788
AL_48,0.0007906700755366428
AL_2,0.0007587106931913757
AL_6,0.0007585870757968344
AL_201,0.000756932767219994
is_missing_AL_253,0.0007487335207405932
AL_3,0.0007428299511496316
is_missing_AL_251,0.0007394967987635976
AL_4,0.0007218763440649914
is_missing_AL_252,0.0006599599907947701
AL_168,0.0006271294195907098
AL_42,0.0006238423287761687
AL_238,0.0006205405750118471
AL_237,0.0006110719552043283
AL_123,0.0006081277600334954
AL_144,0.0006072750559799236
AL_205,0.0005973847508967971
AL_202,0.0005897032404808599
is_missing_AL_289,0.0005891525959193768
AL_126,0.0005826446388212515
is_missing_AL_287,0.0005756660325134078
AL_150,0.0005716028314700824
AL_198,0.0005641984124266239
AL_83,0.0005576821826399757
AL_156,0.000557052992191302
is_missing_AL_288,0.0005537769706966826
AL_147,0.0005525727740743284
AL_159,0.0005524511050514996
AL_174,0.0005522074523508935
AL_117,0.0005461155906679524
AL_241,0.0005452686836338496
AL_162,0.0005435571373020652
AL_108,0.0005411083526440992
AL_92,0.0005300833921128956
AL_209,0.0005279616838860487
AL_132,0.0005161990537515999
AL_120,0.0005143181379684125
AL_171,0.0005021770217060362
AL_196,0.0005001664495903521
AL_114,0.0004941857091556134
AL_281,0.000489416328495409
AL_102,0.00048045437008429
AL_96,0.0004784170793160628
AL_277,0.00047564825404601855
AL_218,0.0004731365864368281
AL_135,0.00046947291539808564
AL_177,0.0004685737319912556
AL_81,0.00046273995008784194
AL_138,0.000458002444504595
AL_99,0.0004566018216926304
AL_153,0.0004482823442970292
AL_180,0.0004449913195010449
AL_78,0.0004448327159722795
AL_111,0.0004354786913580085
is_missing_AL_286,0.0004311895015772094
AL_98,0.0004299025075241274
AL_90,0.00041843897326357377
AL_84,0.0004156524346765219
AL_141,0.0004144980280858947
AL_285,0.00040984944260365154
AL_192,0.00040027381600106406
AL_232,0.0003919633888156991
AL_165,0.0003892932987818705
AL_93,0.00038842933503648063
AL_30,0.00037373504955661623
AL_28,0.00037185474481801284
AL_221,0.00037046739195038136
AL_75,0.00036866558622323175
AL_86,0.0003568292556158865
AL_213,0.00035401393217833585
AL_264,0.00034788644641542356
AL_38,0.0003452452601375323
AL_273,0.00034491566827076663
AL_270,0.00033280940022291405
AL_68,0.00033136747915715276
AL_77,0.0003302873240265571
AL_87,0.00032972454191045156
AL_228,0.0003260666342551941
AL_245,0.00032194821760690256
AL_183,0.0003212826559187133
is_missing_AL_94,0.00031984348389138415
AL_242,0.0003190351095806568
is_missing_AL_265,0.00031604035832634756
AL_34,0.0003158929121324713
is_missing_AL_90,0.00031483205569269224
AL_282,0.00031161645323104245
AL_222,0.0003110398024640856
AL_189,0.0003110029944158869
is_missing_AL_87,0.00031096013988201677
AL_257,0.00030553190434287424
is_missing_AL_82,0.0003034765287660882
AL_32,0.00030222821666182697
is_missing_AL_81,0.0002996968020041413
is_missing_AL_79,0.00029933534066033573
is_missing_AL_91,0.00029873711687563535
AL_229,0.00029719982086661323
is_missing_AL_86,0.0002949667562523708
AL_234,0.0002945181394398225
is_missing_AL_84,0.00029431860061068674
AL_258,0.00029428874082409795
AL_187,0.0002928604976278297
AL_246,0.00029260523960738616
AL_289,0.000291985263582363
AL_225,0.00029187758507416187
AL_286,0.00028686800602199965
AL_259,0.0002866841713770307
AL_278,0.0002849428404260945
is_missing_AL_96,0.0002844691267462444
AL_217,0.00028280286784651456
AL_206,0.00028190757909675007
AL_265,0.0002809045859655143
is_missing_AL_77,0.00027817571524302987
is_missing_AL_85,0.0002773719914336662
AL_274,0.0002770898957144916
is_missing_AL_95,0.00027580091880276053
is_missing_AL_76,0.00027486113423229915
AL_268,0.00027477187666989243
AL_249,0.0002746768206544067
AL_294,0.00027359588961555506
is_missing_AL_260,0.0002731155931618086
AL_254,0.0002727963868895791
AL_193,0.00027017474507721166
AL_250,0.0002695076105022215
AL_290,0.0002687193389603987
is_missing_AL_92,0.00026814689326017685
is_missing_AL_277,0.00026576383980033916
is_missing_AL_97,0.00026447826575924963
is_missing_AL_238,0.00026250639884433237
AL_293,0.0002598056371942582
is_missing_AL_93,0.0002586572718959767
AL_53,0.0002580041266526413
AL_214,0.0002579316220962326
is_missing_AL_98,0.00025689407217065213
is_missing_AL_89,0.00025671324764823725
is_missing_AL_83,0.00025646670843165883
is_missing_AL_270,0.00025541385965243253
is_missing_AL_78,0.0002528655977333628
AL_210,0.0002473755347531271
is_missing_AL_291,0.00024709046630676365
AL_261,0.0002432401595901127
AL_36,0.00024269677087298923
is_missing_AL_206,0.0002409895914643384
is_missing_AL_88,0.00024024916911379946
is_missing_AL_211,0.00023723932045433455
AL_223,0.00023496457688781188
AL_253,0.00023386096783233507
is_missing_AL_243,0.00023312048788677844
AL_50,0.00023018213089416752
is_missing_AL_241,0.0002289419796122336
is_missing_AL_75,0.00022598751154605823
is_missing_AL_273,0.0002254994016194097
is_missing_AL_213,0.0002249764042677711
AL_33,0.0002249181891571756
is_missing_AL_226,0.00022331985922536377
is_missing_AL_257,0.00021935085640861895
is_missing_AL_282,0.00021880165620717548
is_missing_AL_207,0.00021431513049234894
