scenario,panel,model,thr_mode,threshold,best_combo,train_f1,train_precision,train_recall,train_mcc,test_f1_5050,test_precision_5050,test_recall_5050,test_mcc_5050,test_f1_8020_mean,test_f1_8020_std,test_f1_8020_lo,test_f1_8020_hi,n_test
S2,CFTR,catboost,mcc_8020,0.42,,0.9887640449438202,1.0,0.9777777777777777,0.9428090415820634,0.8636363636363636,0.8837209302325582,0.8444444444444444,0.36690092409894554,0.4766060606060606,0.09339176971634021,0.2222222222222222,0.5454545454545454,56
S2,CFTR,nn,f1_raw,0.49,"{'hidden': 128, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.967032967032967,0.9565217391304348,0.9777777777777777,0.8108893879997352,0.896551724137931,0.9285714285714286,0.8666666666666667,0.5449492609130661,0.5814285714285714,0.12989530059107704,0.2857142857142857,0.6666666666666666,56
S2,CFTR,nn,f1_8020,0.51,"{'hidden': 128, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.9550561797752809,0.9659090909090909,0.9444444444444444,0.7660323462854265,0.8705882352941177,0.925,0.8222222222222222,0.48325495707271704,0.5652380952380952,0.14644773393777796,0.2857142857142857,0.6666666666666666,56
S2,CFTR,nn,mcc_8020,0.51,"{'hidden': 128, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.9550561797752809,0.9659090909090909,0.9444444444444444,0.7660323462854265,0.8705882352941177,0.925,0.8222222222222222,0.48325495707271704,0.5652380952380952,0.14644773393777796,0.2857142857142857,0.6666666666666666,56
S2,CFTR,dnn,f1_raw,0.3,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.972972972972973,0.9473684210526315,1.0,0.8429272304235246,0.9247311827956989,0.8958333333333334,0.9555555555555556,0.5688312786486196,0.525090909090909,0.050470840939338076,0.4,0.5454545454545454,56
S2,CFTR,dnn,f1_8020,0.51,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8166666666666667,0.8837209302325582,0.926829268292683,0.8444444444444444,0.5129160371168381,0.598095238095238,0.09995917534020514,0.33392857142857146,0.6666666666666666,56
S2,CFTR,dnn,mcc_8020,0.51,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8166666666666667,0.8837209302325582,0.926829268292683,0.8444444444444444,0.5129160371168381,0.598095238095238,0.09995917534020514,0.33392857142857146,0.6666666666666666,56
S3,CFTR,nn,f1_raw,0.1,"{'hidden': 128, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.9130434782608695,0.8936170212765957,0.9333333333333333,0.4740612223681573,0.9010989010989011,0.8913043478260869,0.9111111111111111,0.4736166088079884,0.49179797979797985,0.08499473686869098,0.26222222222222225,0.5454545454545454,56
S3,CFTR,nn,f1_8020,0.27,"{'hidden': 128, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.85,0.9714285714285714,0.7555555555555555,0.5256137757611012,0.7466666666666667,0.9333333333333333,0.6222222222222222,0.35083797269862776,0.5147619047619048,0.18687913078728058,0.3333333333333333,0.75,56
S3,CFTR,nn,mcc_8020,0.27,"{'hidden': 128, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.85,0.9714285714285714,0.7555555555555555,0.5256137757611012,0.7466666666666667,0.9333333333333333,0.6222222222222222,0.35083797269862776,0.5147619047619048,0.18687913078728058,0.3333333333333333,0.75,56
