config_id,model_type,fe_state,mode,panel,best_threshold,f1_default,best_cv_f1,n_train,n_test,n_features,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,time_seconds
xgboost_with_fe_multi_panel,xgboost,with_fe,multi_panel,All,0.5299999999999998,0.6857142857142857,0.6754921818829629,3429,858,57,0.69,0.8585953904609539,0.7230108496002499,0.529938951637353,0.6349693251533742,0.7554744525547445,0.7962328767123288,0.7758536646335367,0.5252504819248436,1159.201999425888
xgboost_with_fe_single_General,xgboost,with_fe,single_panel,General,0.5199999999999998,0.6555323590814196,0.6538728342176803,2524,632,53,0.6681127982646421,0.8443701226309921,0.7035178109193532,0.49908088798200256,0.5789473684210527,0.7897435897435897,0.7437070938215103,0.76672534178255,0.4845958680681406,955.619003534317
xgboost_with_fe_single_Hereditary_Cancer,xgboost,with_fe,single_panel,Hereditary_Cancer,0.4099999999999998,0.7380952380952381,0.724980443786414,572,143,53,0.7727272727272727,0.9171597633136095,0.7486840550910014,0.6827445931503564,0.6938775510204082,0.8717948717948718,0.8557692307692307,0.8637820512820513,0.6735905044510385,182.6896538734436
xgboost_with_fe_single_PAH,xgboost,with_fe,single_panel,PAH,0.29999999999999993,0.4117647058823529,0.6627686206633575,259,65,53,0.5652173913043478,0.6331168831168832,0.5556527459783509,0.3329001514305916,0.52,0.6190476190476191,0.7272727272727273,0.6731601731601732,0.3298969072164949,366.35035467147827
nn_no_fe_multi_panel,nn,no_fe,multi_panel,All,0.3799999999999999,0.6114130434782609,0.6216436447628134,3429,858,758,0.6207729468599034,0.797476502349765,0.6472179399147102,0.4185492513052486,0.463898916967509,0.9379562043795621,0.4914383561643836,0.7146972802719729,0.33778070554921935,852.5854451656342
nn_no_fe_single_General,nn,no_fe,single_panel,General,0.3899999999999999,0.6,0.603265879084299,2524,632,754,0.6034755134281201,0.7328521973830899,0.4945707703929657,0.41486172252503295,0.4360730593607306,0.9794871794871794,0.43478260869565216,0.7071348940914158,0.30799699872620345,858.0060000419617
nn_no_fe_single_Hereditary_Cancer,nn,no_fe,single_panel,Hereditary_Cancer,0.3599999999999999,0.7415730337078652,0.6690947533851382,572,143,754,0.75,0.8937376725838264,0.6585113460999541,0.6559794642574871,0.631578947368421,0.9230769230769231,0.7980769230769231,0.8605769230769231,0.6302521008403361,131.62099766731262
nn_no_fe_single_PAH,nn,no_fe,single_panel,PAH,0.3899999999999999,0.48,0.5417594279160763,259,65,754,0.5142857142857142,0.6017316017316018,0.4950872501387448,0.16566283748094185,0.3673469387755102,0.8571428571428571,0.29545454545454547,0.5762987012987013,0.11316211878009641,99.76899862289429
nn_with_fe_multi_panel,nn,with_fe,multi_panel,All,0.5099999999999998,0.6795252225519288,0.6672032892849735,3429,858,57,0.6795827123695977,0.85242100789921,0.7167702627281695,0.5074840524719301,0.5743073047858942,0.8321167883211679,0.7106164383561644,0.7713666133386661,0.48495373601889646,941.1163456439972
nn_with_fe_single_General,nn,with_fe,single_panel,General,0.5099999999999998,0.642023346303502,0.6450454886551463,2524,632,53,0.6454183266932271,0.8163351522619258,0.6132551815290764,0.46112020207106347,0.5276872964169381,0.8307692307692308,0.6681922196796338,0.7494807252244323,0.43049804084360166,787.4250476360321
nn_with_fe_single_Hereditary_Cancer,nn,with_fe,single_panel,Hereditary_Cancer,0.5499999999999998,0.7378640776699029,0.7081635047082787,572,143,53,0.7524752475247525,0.8784516765285997,0.6713088556590671,0.668257758826274,0.6129032258064516,0.9743589743589743,0.7692307692307693,0.8717948717948718,0.6278755074424899,161.9739990234375
nn_with_fe_single_PAH,nn,with_fe,single_panel,PAH,0.5099999999999998,0.5641025641025641,0.5863745318054955,259,65,53,0.5789473684210527,0.6590909090909092,0.5639229615848691,0.41228920298032495,0.6470588235294118,0.5238095238095238,0.8636363636363636,0.6937229437229437,0.407744874715262,100.97599911689758
dnn_no_fe_multi_panel,dnn,no_fe,multi_panel,All,0.5399999999999998,0.6133333333333333,0.6215239071784971,3429,858,758,0.617687074829932,0.7859276572342767,0.627920370501162,0.3999988296502839,0.4924078091106291,0.8284671532846716,0.5993150684931506,0.7138911108889111,0.36217797789429695,2075.643001317978
dnn_no_fe_single_General,dnn,no_fe,single_panel,General,0.4299999999999998,0.6039603960396039,0.6008885694954843,2524,632,754,0.6089743589743589,0.7740303937100276,0.5330042299374588,0.4228291024248631,0.4428904428904429,0.9743589743589743,0.45308924485125857,0.7137241096051165,0.3208431325916725,1867.3051080703735
dnn_no_fe_single_Hereditary_Cancer,dnn,no_fe,single_panel,Hereditary_Cancer,0.5999999999999998,0.7047619047619048,0.6737886287732051,572,143,754,0.74,0.8500986193293886,0.5447393156025278,0.6465030138170923,0.6065573770491803,0.9487179487179487,0.7692307692307693,0.858974358974359,0.6103542234332425,434.32303047180176
dnn_no_fe_single_PAH,dnn,no_fe,single_panel,PAH,0.5199999999999998,0.5263157894736842,0.5553906411049269,259,65,754,0.5588235294117647,0.6764069264069265,0.5914197963461616,0.28049848097330937,0.40425531914893614,0.9047619047619048,0.36363636363636365,0.6341991341991342,0.20278004905968927,359.60296964645386
dnn_with_fe_multi_panel,dnn,with_fe,multi_panel,All,0.4199999999999998,0.6774193548387096,0.667898349522606,3429,858,57,0.6852713178294574,0.8410596440355964,0.692165324168659,0.5173349620588413,0.5956873315363881,0.8065693430656934,0.7431506849315068,0.7748600139986002,0.5025049842617294,4367.414666652679
dnn_with_fe_single_General,dnn,with_fe,single_panel,General,0.46999999999999986,0.6502057613168725,0.6460841284783965,2524,632,53,0.6506024096385542,0.8209587513935341,0.6445768057233091,0.46978655020656457,0.5346534653465347,0.8307692307692308,0.6773455377574371,0.754057384263334,0.44055431763377184,2429.813764333725
dnn_with_fe_single_Hereditary_Cancer,dnn,with_fe,single_panel,Hereditary_Cancer,0.5099999999999998,0.74,0.7060008782005798,572,143,53,0.7551020408163265,0.8717948717948718,0.635703959178322,0.6668936256125868,0.6271186440677966,0.9487179487179487,0.7884615384615384,0.8685897435897436,0.6353591160220995,423.93631196022034
dnn_with_fe_single_PAH,dnn,with_fe,single_panel,PAH,0.47999999999999976,0.6666666666666666,0.5962705425982262,259,65,53,0.6666666666666666,0.7435064935064936,0.7180762498797111,0.5585812268712466,0.8,0.5714285714285714,0.9318181818181818,0.7516233766233766,0.5438596491228069,248.53044605255127
