experiment,boot_f1,boot_std,boot_lo,boot_hi,auprc,precision,recall,mcc,fp,fn,tp,tn,thr,train_f1,train_mcc,train_prec,train_rec
E3_RFE_13,0.716720480088901,0.04061550481636185,0.6371428571428571,0.7692307692307693,0.9640935999258335,0.9302325581395349,0.9022556390977443,0.7395747161991519,9,13,120,51,0.49,0.7238421955403087,0.5365283420814045,0.7164685908319185,0.7313691507798961
E2_catboost_no_fe,0.7104382504506345,0.041621106089423134,0.6285714285714286,0.7692307692307693,0.9715533900036267,0.9296875,0.8947368421052632,0.7293611414074249,9,14,119,51,0.48,0.72,0.5278335250831752,0.7073578595317725,0.733102253032929
E1g_NoFE,0.7104382504506345,0.041621106089423134,0.6285714285714286,0.7692307692307693,0.9715533900036267,0.9296875,0.8947368421052632,0.7293611414074249,9,14,119,51,0.48,0.72,0.5278335250831752,0.7073578595317725,0.733102253032929
E2_xgb_v2_full,0.7081313908806169,0.045534847928590534,0.5973109243697479,0.7692307692307693,0.9648902738652704,0.9291338582677166,0.8872180451127819,0.719322383172366,9,15,118,51,0.41,0.7286432160804021,0.5381729210724969,0.7050243111831442,0.7538994800693241
E2_lgbm_v2_safe,0.7064632254477455,0.04932222719412403,0.5882352941176471,0.7692307692307693,0.9754476321865776,0.9291338582677166,0.8872180451127819,0.719322383172366,9,15,118,51,0.41,0.7134404057480981,0.5147933061576978,0.6963696369636964,0.7313691507798961
E1c_GroupC_Missing,0.6997653124216592,0.054585899535629784,0.5882352941176471,0.7692307692307693,0.9674863290726414,0.928,0.8721804511278195,0.6997416279346697,9,17,116,51,0.52,0.7274305555555556,0.5461404449335504,0.7286956521739131,0.7261698440207972
E3_RFE_15,0.6978969426337847,0.0428011646104087,0.6111111111111112,0.75,0.9624007406152111,0.9230769230769231,0.9022556390977443,0.7260971041538546,10,13,120,50,0.48,0.7394957983193278,0.5575209096551137,0.7177814029363785,0.7625649913344887
E1b_GroupB_EKCombo,0.6929401639927957,0.04594311772265002,0.6111111111111112,0.75,0.9632606389605332,0.9224806201550387,0.8947368421052632,0.7157969517103236,10,14,119,50,0.49,0.7244635193133048,0.5378224506789665,0.717687074829932,0.7313691507798961
E2_xgb_v2_safe,0.6923287994882422,0.055789784464612684,0.5723011363636363,0.7567567567567568,0.9717660027840423,0.9316239316239316,0.8195488721804511,0.6500732069511312,8,24,109,52,0.55,0.6961226330027052,0.507873577042364,0.7255639097744361,0.6689774696707106
E3_RFE_16,0.6913533173738567,0.03276928896269493,0.6029160739687056,0.7317073170731707,0.9645144951621404,0.917910447761194,0.924812030075188,0.7449407272741416,11,10,123,49,0.46,0.7327227310574521,0.5437131586422753,0.7051282051282052,0.7625649913344887
E3_RFE_5,0.6911350187665977,0.042204028411219556,0.6111111111111112,0.75,0.9716860306947384,0.9224806201550387,0.8947368421052632,0.7157969517103236,10,14,119,50,0.49,0.7221750212404418,0.5310237640135149,0.7083333333333334,0.7365684575389948
E2_catboost_v2_full,0.6899227006210318,0.03489040897560426,0.631578947368421,0.7317073170731707,0.9714892549198989,0.917910447761194,0.924812030075188,0.7449407272741416,11,10,123,49,0.44,0.742014742014742,0.5560974606504319,0.703416149068323,0.7850953206239168
E1e_All_ABCDEF,0.6899227006210318,0.03489040897560426,0.631578947368421,0.7317073170731707,0.9714892549198989,0.917910447761194,0.924812030075188,0.7449407272741416,11,10,123,49,0.44,0.742014742014742,0.5560974606504319,0.703416149068323,0.7850953206239168
E2_xgb_nb32_fe,0.6875751402067191,0.044216942595247465,0.5803571428571428,0.75,0.9677550106300713,0.9212598425196851,0.8796992481203008,0.6957240116013534,10,16,117,50,0.41,0.7323943661971831,0.5419694904269815,0.7015873015873015,0.7660311958405546
E3_RFE_11,0.6839033025323141,0.03624421328068277,0.6029160739687056,0.7317073170731707,0.9656705336560865,0.9166666666666666,0.9097744360902256,0.7231859358075481,11,12,121,49,0.49,0.7166236003445305,0.5257159651161057,0.7123287671232876,0.7209705372616985
E3_RFE_2,0.6809364922625514,0.030788819131544656,0.6153846153846154,0.7142857142857143,0.9637046403419846,0.9117647058823529,0.9323308270676691,0.7430223535861641,12,9,124,48,0.41,0.7282958199356914,0.5283471666998358,0.679160419790105,0.7850953206239168
E3_RFE_7,0.6708145551496001,0.038550902125576006,0.5871457489878543,0.7142857142857143,0.9628764141420683,0.9104477611940298,0.9172932330827067,0.7206423395161714,12,11,122,48,0.44,0.7361455748552522,0.5480542152190716,0.7041139240506329,0.7712305025996534
E3_RFE_4,0.6656926925091239,0.04747943073000671,0.5945945945945946,0.7317073170731707,0.96895689437779,0.9140625,0.8796992481203008,0.6819888714119233,11,16,117,49,0.48,0.7329401853411963,0.5469953953605715,0.7131147540983607,0.7538994800693241
E2_xgb_no_fe,0.6652348764577867,0.05414976884804804,0.5294117647058824,0.75,0.9594207237812873,0.9180327868852459,0.8421052631578947,0.6483032963513297,10,21,112,50,0.49,0.7225583405358686,0.5366940052468985,0.7206896551724138,0.7244367417677643
E2_lgbm_no_fe,0.660109020538587,0.05658634735714108,0.5388655462184874,0.75,0.9646053398743359,0.9180327868852459,0.8421052631578947,0.6483032963513297,10,21,112,50,0.41,0.7085811384876806,0.508050240137048,0.695,0.7227036395147314
E2_lgbm_nb32_fe,0.6578103383056942,0.058324522773298804,0.4948752228163993,0.7427884615384615,0.9668504408380262,0.9173553719008265,0.8345864661654135,0.6392442496156719,10,22,111,50,0.49,0.7024647887323944,0.5093550564872764,0.7137745974955277,0.6915077989601387
E3_RFE_17,0.6470272684197513,0.036610201725281614,0.5641025641025641,0.6976744186046512,0.9582506373298435,0.9022556390977443,0.9022556390977443,0.6855889724310777,13,13,120,47,0.44,0.738562091503268,0.549590164434742,0.6986089644513137,0.7833622183708839
E3_RFE_6,0.6334334083386834,0.04133277217712323,0.55,0.6818181818181818,0.962215100164967,0.8955223880597015,0.9022556390977443,0.6720455640002312,14,13,120,46,0.44,0.7349298100743188,0.5455836585772317,0.7018927444794952,0.7712305025996534
E3_RFE_3,0.6298650961441659,0.03550772490641542,0.5714285714285714,0.6666666666666666,0.9664399774565833,0.8913043478260869,0.924812030075188,0.6919319330642691,15,10,123,45,0.43,0.7277187244480785,0.5308839135523492,0.6888544891640866,0.7712305025996534
