,0
ccr__resid_pct,0.7111712197384753
ccr__resid,0.7076301041836439
gnomad4__af_fin,0.7074681788583548
gnomad4__ac_fin,0.7072412071135046
gnomad4__an_mid,0.7069865169874079
gnomad4__nhomalt_sas,0.7054786150488812
chasmplus_HNSC__score,0.7029323610875612
chasmplus_HNSC__pval,0.7029306444364483
mutationtaster__score,0.702287898277998
gnomad4__nhomalt_amr,0.7017276141073361
ccr__pct,0.7012791018391986
thousandgenomes_ad_mixed_american__clm_af,0.6961338437979392
esp6500__ea_pop_af,0.69604223590864
gnomad4__nhomalt_nfe,0.6940490725341639
allofus250k__gvs_eas_af,0.6935682831579164
allofus250k__gvs_eas_ac,0.6934633246246259
sift__med,0.6913338207584769
gnomad3__af_asj,0.6837028517640544
chasmplus_UCEC__pval,0.6826291350598142
chasmplus_UCEC__score,0.6826291321804936
phastcons__phastcons17way_primate,0.6774719852088584
phastcons__phastcons17way_primate_r,0.6774719852088584
gnomad4__af_eas,0.6734462307401248
gnomad4__ac_eas,0.6710584901841732
gnomad4__an_eas,0.6685653757820542
gnomad3__af_fin,0.6677627415024107
funseq2__score,0.6672753738578594
gnomad4__an_sas,0.6634973667537816
phylop__phylop17_primate,0.6588096873892195
phylop__phylop17_primate_r,0.6588096873892195
thousandgenomes_ad_mixed_american__mxl_af,0.6557954217590923
gnomad4__an_nfe,0.6546724721276278
thousandgenomes__sas_af,0.6515013840930969
thousandgenomes_ad_mixed_american__pel_af,0.6504878407965401
thousandgenomes_european__ibs_af,0.6470636488124935
ccr__cpg,0.6415578024898763
gnomad4__an_asj,0.6369382628054521
thousandgenomes__eur_af,0.6365509950642875
thousandgenomes_south_asian__gih_af,0.6360675039809669
thousandgenomes_south_asian__pjl_af,0.6354493715294651
thousandgenomes_european__tsi_af,0.6324553803392731
thousandgenomes_south_asian__itu_af,0.6317669310793272
thousandgenomes_south_asian__beb_af,0.6314364071733384
gnomad4__nhomalt_mid,0.6305319069366349
thousandgenomes_european__ceu_af,0.6300636392326524
thousandgenomes_european__fin_af,0.629909973929258
thousandgenomes_south_asian__stu_af,0.629682889034918
gnomad4__nhomalt_fin,0.6289583388330122
gnomad3__af_eas,0.6248343405102139
ccr__syn_density,0.6244753206373883
thousandgenomes_european__gbr_af,0.6213006639295211
spliceai__ds_dl,0.62023960161991
civic__molecular_profile_score,0.6186666666666667
gnomad4__nhomalt_asj,0.6169667291430181
gnomad4__an,0.61672512825251
gwas_catalog__pval,0.6135681103031849
gnomad4__af_ami,0.613330946472726
gnomad4__ac_ami,0.6133226969544979
gnomad4__an_fin,0.6121948228223472
allofus250k__gvs_max_an,0.6034406477699653
thousandgenomes_east_asian__khv_af,0.598912401042085
gnomad4__nhomalt_eas,0.5956284153005464
thousandgenomes_east_asian__chs_af,0.592418180304165
thousandgenomes_east_asian__cdx_af,0.5903106346823055
thousandgenomes_east_asian__chb_af,0.5883518674814006
thousandgenomes_east_asian__jpt_af,0.5843411526425875
alfa_latin_american__latin2_alt,0.5768041577213964
alfa_latin_american__latin2_freq,0.5767987941112533
alfa_latin_american__latin1_freq,0.5728483487184879
alfa_latin_american__latin1_alt,0.5728295982833607
litvar_full__reference_count,0.5679003828126414
allofus250k__gvs_all_an,0.5668731723172307
gnomad4__an_amr,0.5660724263703
gnomad4__nhomalt_ami,0.5652352102637206
thousandgenomes__eas_af,0.563283983448362
gnomad4__an_rem,0.5623876415617328
abraom__allele_freq,0.5621212121212121
allofus250k__gvs_afr_an,0.5610475005720704
allofus250k__gvs_eur_an,0.5604554214237011
gwas_catalog__pmid,0.5602356805715014
spliceai__ds_dg,0.5587517221624949
allofus250k__gvs_amr_an,0.5571287961191312
spliceai__ds_ag,0.5558040969284929
regeneron__ALL_AN,0.5529130483480217
allofus250k__gvs_oth_an,0.5520416489982828
gerp__gerp_nr,0.5494234283567277
gnomad4__an_ami,0.5409275098334257
allofus250k__gvs_eas_an,0.5394449730723047
allofus250k__gvs_sas_an,0.5330840102819283
base__exonno,0.5278512531661163
segway__mean_score,0.5274067902984989
allofus250k__gvs_mid_an,0.5211646320550136
fitcons__fitcons_coding_score,0.5159925305512144
fitcons__fitcons_coding_rankscore,0.5159925305512144
segway__sum_score,0.5139935778608775
genehancer__score,0.5120799341306903
spliceai__ds_al,0.5092759799651791
dann__score,0.508279275055115
spliceai__dp_al,0.5075104725748316
hg19__pos,0.5058720122924716
base__gposend,0.5054405603170842
spliceai__dp_dl,0.5048044757439207
gnomad4__an_afr,0.5045572538563748
fitcons__fitcons_coding_pred,0.5018868688272613
spliceai__dp_dg,0.5006506042950568
spliceai__dp_ag,0.5005180705989248
