config_id,model_type,fe_state,mode,panel,best_threshold,f1_default,best_cv_f1,n_train,n_test,n_features,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,time_seconds
nn_full_fe_single_Hereditary_Cancer,nn,full_fe,single_panel,Hereditary_Cancer,0.5999999999999998,0.6476190476190476,0.6568585906941623,572,143,1529,0.6666666666666666,0.8740138067061145,0.7211737584806716,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.875,0.7708333333333333,0.5416666666666667,97.19397306442261
nn_full_fe_single_PAH,nn,full_fe,single_panel,PAH,0.5099999999999998,0.5797101449275363,0.5416912836267674,259,65,1529,0.5882352941176471,0.6645021645021645,0.4635220577447072,0.3540162280026042,0.425531914893617,0.9523809523809523,0.38636363636363635,0.6693722943722944,0.2559280457890434,80.63449168205261
dnn_full_fe_multi_panel,dnn,full_fe,multi_panel,All,0.48999999999999977,0.5962732919254659,0.6117358693077497,3429,858,1533,0.6,0.7392510748925107,0.5273654677230505,0.37227639255978306,0.45054945054945056,0.8978102189781022,0.4863013698630137,0.692055794420558,0.30401234567901236,1164.5975017547607
dnn_full_fe_single_General,dnn,full_fe,single_panel,General,0.4999999999999998,0.5869565217391305,0.592572443109307,2524,632,1529,0.5869565217391305,0.7140292202077099,0.4615885018129877,0.3811436014535128,0.4209354120267261,0.9692307692307692,0.40503432494279173,0.6871325470867805,0.2750605869822077,1278.9783535003662
dnn_full_fe_single_Hereditary_Cancer,dnn,full_fe,single_panel,Hereditary_Cancer,0.5099999999999998,0.6966292134831461,0.661631638560282,572,143,1529,0.6976744186046512,0.8641518737672584,0.6928045062967907,0.5743434040229598,0.6382978723404256,0.7692307692307693,0.8365384615384616,0.8028846153846154,0.5692771084337349,248.207533121109
dnn_full_fe_single_PAH,dnn,full_fe,single_panel,PAH,0.4999999999999998,0.5,0.5356250329092594,259,65,1529,0.5,0.4707792207792208,0.39532838143583726,0.12309149097933274,0.3333333333333333,1.0,0.045454545454545456,0.5227272727272727,0.02985074626865658,183.42269611358643
stacking_lr_full_fe_multi_panel,stacking_lr,full_fe,multi_panel,All,0.5299999999999998,0.684931506849315,0.6918238993710691,3429,858,1533,0.6918238993710691,0.8566705829417058,0.7213025004006182,0.5284397068285488,0.6077348066298343,0.8029197080291971,0.7568493150684932,0.7798845115488451,0.5158013544018059,126.49372458457947
stacking_lr_full_fe_single_General,stacking_lr,full_fe,single_panel,General,0.4199999999999998,0.6279569892473118,0.6411290322580645,2524,632,1529,0.6411290322580645,0.8150560347356687,0.6433222145869916,0.45357413195244595,0.5282392026578073,0.8153846153846154,0.6750572082379863,0.7452209118113009,0.4262808416886813,75.94063115119934
stacking_lr_full_fe_single_Hereditary_Cancer,stacking_lr,full_fe,single_panel,Hereditary_Cancer,0.5899999999999997,0.7586206896551724,0.7951807228915663,572,143,1529,0.7951807228915663,0.9255424063116371,0.7893950287829561,0.7144345083117604,0.75,0.8461538461538461,0.8942307692307693,0.8701923076923077,0.711864406779661,31.53943109512329
stacking_lr_full_fe_single_PAH,stacking_lr,full_fe,single_panel,PAH,0.34999999999999987,0.4864864864864865,0.5454545454545454,259,65,1529,0.5454545454545454,0.6774891774891775,0.582623903145834,0.2644747506161923,0.4411764705882353,0.7142857142857143,0.5681818181818182,0.6412337662337663,0.24312994876571958,22.762587308883667
stacking_lgbm_full_fe_multi_panel,stacking_lgbm,full_fe,multi_panel,All,0.5599999999999997,0.6636904761904762,0.6793048973143759,3429,858,1533,0.6793048973143759,0.8510961403859614,0.7095981675361399,0.5085622562670801,0.5988857938718662,0.7846715328467153,0.7534246575342466,0.769048095190481,0.4971620927184438,117.45774865150452
stacking_lgbm_full_fe_single_General,stacking_lgbm,full_fe,single_panel,General,0.5499999999999998,0.624031007751938,0.635814889336016,2524,632,1529,0.635814889336016,0.8131784310274013,0.6410003970795413,0.444534114302136,0.5231788079470199,0.8102564102564103,0.6704805491990846,0.7403684797277474,0.4173305352376683,94.95848512649536
stacking_lgbm_full_fe_single_Hereditary_Cancer,stacking_lgbm,full_fe,single_panel,Hereditary_Cancer,0.24999999999999992,0.673469387755102,0.7047619047619048,572,143,1529,0.7047619047619048,0.8624260355029585,0.7221791056946705,0.5984437489312764,0.5606060606060606,0.9487179487179487,0.7211538461538461,0.8349358974358974,0.5507246376811594,34.316455364227295
stacking_lgbm_full_fe_single_PAH,stacking_lgbm,full_fe,single_panel,PAH,0.4199999999999998,0.5,0.5531914893617021,259,65,1529,0.5531914893617021,0.659090909090909,0.5343821864517834,0.3088988028763958,0.5,0.6190476190476191,0.7045454545454546,0.6617965367965368,0.3046357615894041,22.37664484977722
