config_id,model_type,fe_state,mode,panel,best_threshold,f1_default,best_cv_f1,n_train,n_test,n_features,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,time_seconds
lightgbm_clean_fe_single_PAH,lightgbm,clean_fe,single_panel,PAH,0.2899999999999999,0.375,0.5862376706383651,259,65,1495,0.6037735849056604,0.7023809523809523,0.5752132474770912,0.3725459735748946,0.5,0.7619047619047619,0.6363636363636364,0.699134199134199,0.350309376487387,160.67399907112122
xgboost_no_fe_multi_panel,xgboost,no_fe,multi_panel,All,0.48999999999999977,0.6839546191247974,0.683922645555149,3429,858,534,0.6923076923076923,0.8562456254374562,0.7371362994742034,0.5301831667980346,0.6171428571428571,0.7883211678832117,0.7705479452054794,0.7794345565443456,0.5205476262543947,2431.793023586273
xgboost_no_fe_single_General,xgboost,no_fe,single_panel,General,0.29999999999999993,0.6292134831460674,0.6616931135553272,2524,632,530,0.6704545454545454,0.8425277239922548,0.6681119072601142,0.5094781521067687,0.5315315315315315,0.9076923076923077,0.6430205949656751,0.7753564513289914,0.4604809984987195,1730.7280025482178
xgboost_no_fe_single_Hereditary_Cancer,xgboost,no_fe,single_panel,Hereditary_Cancer,0.5499999999999998,0.775,0.7536151996274671,572,143,530,0.7948717948717948,0.9319526627218935,0.8311310146153115,0.717948717948718,0.7948717948717948,0.7948717948717948,0.9230769230769231,0.858974358974359,0.717948717948718,910.343640089035
xgboost_no_fe_single_PAH,xgboost,no_fe,single_panel,PAH,0.4099999999999998,0.4864864864864865,0.6941626292324043,259,65,530,0.5,0.6158008658008658,0.5364271433303156,0.27930712824987197,0.5263157894736842,0.47619047619047616,0.7954545454545454,0.6358225108225108,0.2785793562708102,728.0329954624176
xgboost_with_fe_multi_panel,xgboost,with_fe,multi_panel,All,0.4199999999999998,0.6834170854271356,0.6817174468397065,3429,858,219,0.6925465838509317,0.8590890910908909,0.7203849552363534,0.5292099511317084,0.6027027027027027,0.8138686131386861,0.7482876712328768,0.7810781421857814,0.5143285152319093,1095.076658964157
xgboost_with_fe_single_General,xgboost,with_fe,single_panel,General,0.5699999999999997,0.648,0.6584462099255839,2524,632,215,0.6574074074074074,0.8332335856363317,0.6735246262671889,0.48735782688974527,0.5991561181434599,0.7282051282051282,0.782608695652174,0.7554069119286511,0.48206474190726156,1016.6495311260223
xgboost_with_fe_single_Hereditary_Cancer,xgboost,with_fe,single_panel,Hereditary_Cancer,0.4299999999999998,0.7848101265822784,0.7581981876727327,572,143,215,0.8148148148148148,0.9252958579881657,0.7937355923510921,0.7427751967640439,0.7857142857142857,0.8461538461538461,0.9134615384615384,0.8798076923076923,0.7417840375586855,343.82970094680786
xgboost_with_fe_single_PAH,xgboost,with_fe,single_panel,PAH,0.3699999999999999,0.47058823529411764,0.7021191429074839,259,65,215,0.5714285714285714,0.6720779220779219,0.5826037913589857,0.36688311688311687,0.5714285714285714,0.5714285714285714,0.7954545454545454,0.6834415584415584,0.3668831168831168,412.02500677108765
xgboost_clean_multi_panel,xgboost,clean,multi_panel,All,0.5599999999999997,0.5815279361459521,0.5953596912766292,3429,858,1056,0.5982478097622027,0.7444630536946305,0.5920614844085684,0.36597641293756356,0.4552380952380952,0.8722627737226277,0.5102739726027398,0.6912683731626837,0.307720150210385,3454.1703939437866
xgboost_clean_single_General,xgboost,clean,single_panel,General,0.5399999999999998,0.5579268292682927,0.5670030958062069,2524,632,1052,0.5672609400324149,0.727501026814528,0.5116776179365203,0.32577366395082774,0.4146919431279621,0.8974358974358975,0.43478260869565216,0.6661092530657748,0.2512379971956479,3374.1046075820923
xgboost_clean_single_Hereditary_Cancer,xgboost,clean,single_panel,Hereditary_Cancer,0.5299999999999998,0.5833333333333334,0.6659587149936514,572,143,1052,0.6153846153846154,0.7842702169625246,0.576082729724313,0.45104056142765325,0.5384615384615384,0.717948717948718,0.7692307692307693,0.7435897435897436,0.44121915820029034,2167.9017646312714
xgboost_clean_single_PAH,xgboost,clean,single_panel,PAH,0.1,0.35555555555555557,0.5433165790936053,259,65,1052,0.4883720930232558,0.5265151515151516,0.3348817848817849,0.0,0.3230769230769231,1.0,0.0,0.5,0.0,1846.1421344280243
xgboost_clean_fe_multi_panel,xgboost,clean_fe,multi_panel,All,0.48999999999999977,0.5721583652618135,0.588126502249164,3429,858,1499,0.5796019900497512,0.7423382661733828,0.5940074448446564,0.3279314917946278,0.439622641509434,0.8503649635036497,0.4914383561643836,0.6709016598340166,0.2738863071869241,2271.8159778118134
xgboost_clean_fe_single_General,xgboost,clean_fe,single_panel,General,0.34999999999999987,0.1735159817351598,0.5607083189892521,2524,632,1495,0.5560975609756098,0.7055213284046236,0.5152925271696087,0.30045975708813555,0.40714285714285714,0.8769230769230769,0.4302059496567506,0.6535645132899137,0.23276414087513342,3677.55570602417
xgboost_clean_fe_single_Hereditary_Cancer,xgboost,clean_fe,single_panel,Hereditary_Cancer,0.4299999999999998,0.6206896551724138,0.6319648033126294,572,143,1495,0.6526315789473685,0.8123767258382644,0.6106218182860881,0.505925817906009,0.5535714285714286,0.7948717948717948,0.7596153846153846,0.7772435897435896,0.48801128349788436,2339.222618818283
xgboost_clean_fe_single_PAH,xgboost,clean_fe,single_panel,PAH,0.20999999999999996,0.0,0.5670620783609072,259,65,1495,0.49382716049382713,0.5854978354978355,0.4792934425955299,0.07597371763975863,0.3333333333333333,0.9523809523809523,0.09090909090909091,0.5216450216450216,0.02914389799635686,2375.607630252838
nn_no_fe_multi_panel,nn,no_fe,multi_panel,All,0.4099999999999998,0.6235632183908046,0.6253296598351749,3429,858,534,0.6243386243386243,0.7959704029597041,0.6285970214968377,0.4135203380424004,0.4896265560165975,0.8613138686131386,0.5787671232876712,0.720040495950405,0.36628245672436754,391.28444051742554
nn_no_fe_single_General,nn,no_fe,single_panel,General,0.47999999999999976,0.6,0.5957891526528937,2524,632,530,0.6075949367088608,0.7875491404095524,0.5948604671575206,0.39954822288470676,0.5161290322580645,0.7384615384615385,0.6910755148741419,0.7147685266678402,0.38376372157393146,255.67394542694092
nn_no_fe_single_Hereditary_Cancer,nn,no_fe,single_panel,Hereditary_Cancer,0.4999999999999998,0.6881720430107527,0.6713067906616293,572,143,530,0.6881720430107527,0.8464003944773175,0.6455131607923486,0.5594433255589122,0.5925925925925926,0.8205128205128205,0.7884615384615384,0.8044871794871795,0.5436337625178826,78.05798625946045
nn_no_fe_single_PAH,nn,no_fe,single_panel,PAH,0.4999999999999998,0.6037735849056604,0.5387205387205387,259,65,530,0.6037735849056604,0.6655844155844156,0.4529983827288239,0.3725459735748946,0.5,0.7619047619047619,0.6363636363636364,0.699134199134199,0.350309376487387,48.853986501693726
nn_with_fe_multi_panel,nn,with_fe,multi_panel,All,0.4999999999999998,0.6294573643410852,0.6463613590627807,3429,858,219,0.6294573643410852,0.8063318668133186,0.6523560017964549,0.42650551871796616,0.5471698113207547,0.7408759124087592,0.7123287671232876,0.7266023397660234,0.41427926718499175,673.8618786334991
nn_with_fe_single_General,nn,with_fe,single_panel,General,0.44999999999999984,0.6166328600405679,0.6238347190728143,2524,632,215,0.6259842519685039,0.7791351287918794,0.5284394207362582,0.427715016497181,0.5079872204472844,0.8153846153846154,0.6475972540045767,0.731490934694596,0.3965404601328737,540.8849468231201
nn_with_fe_single_Hereditary_Cancer,nn,with_fe,single_panel,Hereditary_Cancer,0.6099999999999998,0.6947368421052632,0.6857102676818329,572,143,215,0.6966292134831461,0.876232741617357,0.6798308368972991,0.5717435447852334,0.62,0.7948717948717948,0.8173076923076923,0.8060897435897436,0.5625920471281296,81.26099300384521
nn_with_fe_single_PAH,nn,with_fe,single_panel,PAH,0.48999999999999977,0.6,0.6052393471120896,259,65,215,0.6,0.6536796536796536,0.5461939751897404,0.37264461562414225,0.5172413793103449,0.7142857142857143,0.6818181818181818,0.698051948051948,0.36023622047244097,50.92199420928955
