,0
mutpred1__mutpred_top5_mechanisms,0
mutpred1__amino_acid_substitution,0
regulomedb__ra,0
phdsnpg__prediction,0
swissprot_ptm__carbohyd,0
phdsnpg__bp4_benign,0
regulomedb__motif,0
phylop__bp4_benign,0
regulomedb__dnase_peak,0
regulomedb__tf_binding,0
phylop__pp3_pathogenic,0
swissprot_ptm__lipid,0
swissprot_domains__repeat,0
swissprot_domains__peptide,0
provean__prediction,0
varity_r__bp4_benign,0
swissprot_ptm__pubmed,0
swissprot_ptm__transit,0
primateai__pp3_pathogenic,0
primateai__bp4_benign,0
primateai__primateai_pred,0
swissprot_ptm__signal,0
swissprot_ptm__propep,0
pharmgkb__has_sig,0
pharmgkb__drug_assoc,0
mutpred1__bp4_benign,0
ncrna__ncrnaclass,0
repeat__repeatname,0
repeat__repeatfamily,0
repeat__repeatclass,0
mutpred2__top5_mechanisms,0
mutpred2__all_annotations,0
regulomedb__matched_dnase_footprint,0
regulomedb__matched_tf_motif,0
regulomedb__eqtl,0
swissprot_domains__pubmed,0
ncrna__ncrnaname,0
pharmgkb__pheno_cat,0
swissprot_ptm__crosslnk,0
original_input__ref_base,0
original_input__alt_base,0
swissprot_ptm__disulfid,0
swissprot_domains__intramem,0
swissprot_domains__motif,0
pharmgkb__id,0
pharmgkb__chemicals,0
regulomedb__dnase_footprint,0
swissprot_binding__zn,0
arrvars__unaff,0
funseq2__motif,0
gnomad4__ac_fin,0
gnomad4__ac_mid,0
gnomad4__nhomalt_mid,0
gnomad4__ac_sas,0
gnomad4__ac_rem,0
hgdp__african_allele_freq,0
hgdp__cs_asian_allele_freq,0
hgdp__east_asian_allele_freq,0
hgdp__european_allele_freq,0
hgdp__middle_eastern_allele_freq,0
hgdp__native_american_allele_freq,0
hgdp__oceanian_allele_freq,0
linsight__value,0
mutpred1__mutpred_rankscore,0
phastcons__phastcons100_vert_r,0
phastcons__phastcons470_mamm,0
phastcons__phastcons470_mamm_r,0
arrvars__brs_penetrance,0
alfa_latin_american__latin2_freq,0
alfa_latin_american__latin2_alt,0
alfa_latin_american__latin1_freq,0
alfa_latin_american__latin1_alt,0
revel__rankscore,0
thousandgenomes_ad_mixed_american__clm_af,0
thousandgenomes_ad_mixed_american__mxl_af,0
thousandgenomes_african__asw_af,0
gnomad4__nhomalt_fin,0
gnomad4__nhomalt_eas,0
funseq2__hot,0
gnomad4__ac_eas,0
arrvars__lqt_penetrance,0
arrvars__lqt,0
aloft__dominant,0
cadd_exome__phred,0
cancer_genome_interpreter__resistant,0
cancer_genome_interpreter__responsive,0
cancer_genome_interpreter__other,0
cardioboost__arrhythmias,0
ccr__resid_pct,0
aloft__recessive,0
aloft__tolerant,0
civic__id,0
civic__molecular_profile_score,0
cscape_coding__rankscore,0
allofus250k__gvs_mid_af,0
fitcons__fitcons_coding_rankscore,0
gnomad4__nhomalt,0
gnomad4__ac_afr,0
gnomad4__af_ami,0
gnomad4__an_ami,0
gnomad4__ac_ami,0
gnomad4__nhomalt_ami,0
gnomad4__af_amr,0
gnomad4__nhomalt_amr,0
gnomad4__nhomalt_asj,0
thousandgenomes_african__esn_af,0
thousandgenomes_african__gwd_af,0
thousandgenomes_african__msl_af,0
thousandgenomes_african__yri_af,0
cadd_exome__bp4_benign,0
cancer_hotspots__samples,0
cardioboost__cardiomyopathy1,0
cardioboost__arrhythmias1,0
ccre_screen__acc_d,0
ccre_screen__acc_e,0
ccre_screen___group,0
civic__diseases,0
civic__description,0
dann__bp4_benign,0
dann_coding__bp4_benign,0
dbsnp__rsid,0
dbsnp_common__rsid,0
denovo__PubmedId,0
denovo__PrimaryPhenotype,0
denovo__Validation,0
ensembl_regulatory_build__region,0
alfa_asian__east_freq,0
esm1b__prediction,0
esm1b__bp4_benign,0
eve__all_annotations,0
fathmm_mkl__fathmm_mkl_coding_pred,0
fathmm_xf_coding__fathmm_xf_coding_pred,0
flank_seq__ref_seq,0
flank_seq__alt_seq,0
cadd__bp4_benign,0
brca1_func_assay__class,0
bayesdel__bp4_benign,0
alfa_asian__other_freq,0
thousandgenomes_east_asian__chb_af,0
thousandgenomes_east_asian__jpt_af,0
thousandgenomes_east_asian__chs_af,0
thousandgenomes_european__ibs_af,0
thousandgenomes_south_asian__beb_af,0
thousandgenomes_south_asian__gih_af,0
thousandgenomes_south_asian__itu_af,0
uk10k_cohort__uk10k_twins_ac,0
uk10k_cohort__uk10k_twins_af,0
alfa_asian__asian_freq,0
alfa_asian__asian_alt,0
alfa_asian__other_alt,0
bayesdel__bayesdel_noAF_pred,0
alfa_asian__south_freq,0
alfa_asian__south_alt,0
allofus250k__gvs_max_subpop,0
aloft__affect,0
aloft__pred,0
alphamissense__bp4_benign,0
alphamissense__pp3_pathogenic,0
arrvars__function,0
arrvars__brs_structure,0
arrvars__lqt_structure,0
bayesdel__bayesdel_addAF_pred,0
vista_enhancer__features,0
