experiment,exp_group,pool,model,boot_f1,boot_std,boot_lo,boot_hi,auprc,precision,recall,mcc,fp,fn,thr,train_f1,overfit_gap
E1_P4_COMBINED_KANSER_dnn_ft,E1,P4_COMBINED_KANSER,dnn_ft,0.6057978247219734,0.0732156473487832,0.4481534090909091,0.717948717948718,0.9154578459950046,0.9056603773584906,0.7218045112781954,0.5164041474541188,10,37,0.41,0.8739495798319328,0.26815175510995937
E1_P1_BALANCED_625_dnn,E1,P1_BALANCED_625,dnn,0.6048241236675118,0.08739240048065917,0.44076354679802954,0.7428571428571429,0.9272164787625842,0.9230769230769231,0.631578947368421,0.47743462652311397,7,49,0.52,0.6541218637992832,0.04929774013177135
E1_P8_COMBINED_BAL_dnn_ft,E1,P8_COMBINED_BAL,dnn_ft,0.6038663549463784,0.09565997825805095,0.42857142857142855,0.7428571428571429,0.9237144053160471,0.9230769230769231,0.631578947368421,0.47743462652311397,7,49,0.52,0.7964601769911505,0.19259382204477205
E1_P6_MASTER_UNDER_nn_ft,E1,P6_MASTER_UNDER,nn_ft,0.6037892272418948,0.043034735427984055,0.5211858974358974,0.6818181818181818,0.8590499188611558,0.8861788617886179,0.8195488721804511,0.5643612621634807,14,24,0.43,0.8412698412698413,0.2374806140279465
E1_P3_COMBINED_RAW_dnn_ft,E1,P3_COMBINED_RAW,dnn_ft,0.6032993148270654,0.06007710419744604,0.5142857142857142,0.7,0.9123895613592384,0.9009009009009009,0.7518796992481203,0.5323520343130091,11,33,0.39,0.8278688524590164,0.22456953763195098
E1_P2_KANSER_BAL625_nn_ft,E1,P2_KANSER_BAL625,nn_ft,0.6017953916754226,0.0745529257757488,0.4375,0.717948717948718,0.9464582455620894,0.9047619047619048,0.7142857142857143,0.5089135399415585,10,38,0.48,0.8925619834710744,0.2907665917956518
E0_P1_BALANCED_625_nn_ft,E0,P1_BALANCED_625,nn_ft,0.6017527901443177,0.05513171008875535,0.5,0.7072299651567944,0.9465039308889741,0.8956521739130435,0.7744360902255639,0.5418099068913123,12,30,0.45,0.852589641434263,0.25083685128994526
E1_P8_COMBINED_BAL_nn,E1,P8_COMBINED_BAL,nn,0.6012981494215557,0.038833911991376556,0.49590592334494776,0.6521739130434783,0.9118917634633138,0.8796992481203008,0.8796992481203008,0.613032581453634,16,16,0.41,0.7273689782953944,0.1260708288738387
E1_P4_COMBINED_KANSER_nn,E1,P4_COMBINED_KANSER,nn,0.6012663135692062,0.04525402232383485,0.5,0.6666666666666666,0.9138876119644853,0.8828125,0.849624060150376,0.5872443314209201,15,20,0.36,0.8000796495420152,0.19881333597280892
E1_P2_KANSER_BAL625_dnn_ft,E1,P2_KANSER_BAL625,dnn_ft,0.5989559246221634,0.05418350248811157,0.5,0.6829268292682927,0.9431892284202371,0.8947368421052632,0.7669172932330827,0.5336483602057283,12,31,0.47,0.92,0.32104407537783664
E1_P5_FINAL_8020_dnn,E1,P5_FINAL_8020,dnn,0.5988491076331823,0.0881912139987182,0.4256896551724138,0.7222222222222222,0.9295794773683921,0.9139784946236559,0.6390977443609023,0.46849853546405495,8,48,0.5,0.4823529411764706,-0.11649616645671174
E1_P5_FINAL_8020_dnn_ft,E1,P5_FINAL_8020,dnn_ft,0.5985614243719981,0.09491454187940744,0.42857142857142855,0.7428571428571429,0.9337310505533574,0.9230769230769231,0.631578947368421,0.47743462652311397,7,49,0.52,0.8138528138528138,0.21529138948081572
E1_P1_BALANCED_625_nn,E1,P1_BALANCED_625,nn,0.5978443866589074,0.047709941102159814,0.5,0.6666666666666666,0.9428737561376452,0.8828125,0.849624060150376,0.5872443314209201,15,20,0.42,0.7222222222222222,0.12437783556331483
E1_P7_MASTER_UNDER_K_catboost,E1,P7_MASTER_UNDER_K,catboost,0.5977119545802114,0.05684419986149143,0.4864864864864865,0.6976744186046512,0.9462415343527038,0.8916666666666667,0.8045112781954887,0.5610633935525196,13,26,0.72,0.8075880758807588,0.20987612130054734
E1_P9_REVERSE_6040_nn,E1,P9_REVERSE_6040,nn,0.5958025166463587,0.06628218360659352,0.45714285714285713,0.6829268292682927,0.9222647552791056,0.8928571428571429,0.7518796992481203,0.5176000908037783,12,33,0.5,0.6440101954120646,0.048207678765705864
E1_P5_FINAL_8020_lgbm,E1,P5_FINAL_8020,lgbm,0.5931344528165736,0.06130488553642735,0.4864864864864865,0.6976744186046512,0.9527970684749008,0.8925619834710744,0.8120300751879699,0.5698028949200858,13,25,0.05,0.48514851485148514,-0.10798593796508849
E1_P5_FINAL_8020_xgb,E1,P5_FINAL_8020,xgb,0.5912351426705549,0.05902847873775826,0.4864864864864865,0.6906976744186046,0.9531096432142695,0.8898305084745762,0.7894736842105263,0.5439238976754781,13,28,0.16,0.5,-0.09123514267055488
E1_P0_KANSER_ONLY_xgb,E1,P0_KANSER_ONLY,xgb,0.5895454938708553,0.0825949234844787,0.4444444444444444,0.7272727272727273,0.9356094694392587,0.927710843373494,0.5789473684210527,0.4477688196974394,6,56,0.94,0.7570093457943925,0.1674638519235372
E1_P5_FINAL_8020_nn,E1,P5_FINAL_8020,nn,0.589255651687427,0.0737082436242086,0.4346702317290553,0.7,0.9306648212305325,0.897196261682243,0.7218045112781954,0.5014444091862401,11,37,0.51,0.49023861171366595,-0.09901703997376105
E1_P9_REVERSE_6040_dnn,E1,P9_REVERSE_6040,dnn,0.5862382217239652,0.08060665609487973,0.4375,0.717948717948718,0.9286988980854423,0.900990099009901,0.6842105263157895,0.47961637843586435,10,42,0.5,0.6487394957983194,0.06250127407435413
E1_P0_KANSER_ONLY_dnn,E1,P0_KANSER_ONLY,dnn,0.5834671580534301,0.06539861934369365,0.4219747899159664,0.6755182926829268,0.9131449514232857,0.8928571428571429,0.7518796992481203,0.5176000908037783,12,33,0.48,0.8134328358208955,0.22996567776746546
E1_P2_KANSER_BAL625_nn,E1,P2_KANSER_BAL625,nn,0.5834641044340421,0.04559662528153162,0.4701923076923077,0.6363636363636364,0.9261986221947155,0.88,0.8270676691729323,0.5591376360644029,15,23,0.44,0.7213333333333334,0.13786922889929132
E1_P7_MASTER_UNDER_K_dnn_ft,E1,P7_MASTER_UNDER_K,dnn_ft,0.582068653600134,0.05584782734804924,0.46153846153846156,0.6666666666666666,0.8761699048916509,0.8790322580645161,0.8195488721804511,0.5500435215961134,15,24,0.37,0.8549019607843137,0.27283330718417964
E1_P6_MASTER_UNDER_nn,E1,P6_MASTER_UNDER,nn,0.5819555631201451,0.04850949876673539,0.5,0.6363636363636364,0.859614929183291,0.8780487804878049,0.8120300751879699,0.541077439248228,15,25,0.4,0.7652859960552268,0.18333043293508178
E1_P3_COMBINED_RAW_dnn,E1,P3_COMBINED_RAW,dnn,0.5818375734131602,0.04869335960533206,0.48416389811738647,0.6382978723404256,0.8780632280889022,0.8731343283582089,0.8796992481203008,0.5991504007263208,17,16,0.36,0.7493345164152617,0.1674969430021015
E1_P4_COMBINED_KANSER_nn_ft,E1,P4_COMBINED_KANSER,nn_ft,0.57636969964581,0.04830123989587048,0.4878048780487805,0.6521739130434783,0.9118157295267756,0.873015873015873,0.8270676691729323,0.5448509033626089,16,23,0.37,0.933852140077821,0.35748244043201105
E1_P7_MASTER_UNDER_K_xgb,E1,P7_MASTER_UNDER_K,xgb,0.5671741210817033,0.08611785189130433,0.4,0.7027027027027027,0.9457776208549209,0.9052631578947369,0.6466165413533834,0.4597775758644889,9,47,0.89,0.7247706422018348,0.15759652112013156
E1_P3_COMBINED_RAW_nn_ft,E1,P3_COMBINED_RAW,nn_ft,0.5648148319457292,0.03327093836246976,0.4855457909343201,0.6,0.8906367839036439,0.8591549295774648,0.9172932330827067,0.6129925703507143,20,11,0.34,0.8848920863309353,0.32007725438520607
E1_P7_MASTER_UNDER_K_nn_ft,E1,P7_MASTER_UNDER_K,nn_ft,0.5581679441434297,0.03396025450870608,0.5,0.5957446808510638,0.9185149572298543,0.8615384615384616,0.8421052631578947,0.535110063470115,18,21,0.38,0.9343629343629344,0.37619499021950464
E1_P6_MASTER_UNDER_xgb,E1,P6_MASTER_UNDER,xgb,0.5542382858149912,0.03925301998099373,0.47619047619047616,0.6086956521739131,0.9198625202289107,0.8661417322834646,0.8270676691729323,0.5305354106042659,17,23,0.63,0.828125,0.27388671418500876
E1_P3_COMBINED_RAW_nn,E1,P3_COMBINED_RAW,nn,0.5517006796884991,0.04826050254826379,0.4367940199335548,0.625,0.8892517681058807,0.8615384615384616,0.8421052631578947,0.535110063470115,18,21,0.36,0.7810902896081772,0.22938960991967805
E1_P6_MASTER_UNDER_lgbm,E1,P6_MASTER_UNDER,lgbm,0.5359925771455161,0.06337720705815315,0.42105263157894735,0.6363636363636364,0.9169748472214825,0.8648648648648649,0.7218045112781954,0.44176888013852317,15,37,0.9,0.7478260869565218,0.21183350981100568
E1_P7_MASTER_UNDER_K_dnn,E1,P7_MASTER_UNDER_K,dnn,0.534558799466822,0.05235153631611321,0.4266913319238901,0.6122448979591837,0.9093134256652184,0.8538461538461538,0.8345864661654135,0.5112366833846476,19,22,0.4,0.7966305655836342,0.26207176611681215
E1_P7_MASTER_UNDER_K_nn,E1,P7_MASTER_UNDER_K,nn,0.5293394642163786,0.046685137096884675,0.41919871794871794,0.6151767676767677,0.8797448070572945,0.8596491228070176,0.7368421052631579,0.4425836975004183,16,35,0.48,0.7298850574712644,0.20054559325488586
E1_P6_MASTER_UNDER_dnn,E1,P6_MASTER_UNDER,dnn,0.4940025226574425,0.1381110697242498,0.21052631578947367,0.6923076923076923,0.8902473456761966,0.96,0.3609022556390977,0.3460597714869152,2,85,0.43,0.7553191489361702,0.26131662627872776
E1_P0_KANSER_ONLY_nn,E1,P0_KANSER_ONLY,nn,0.4795886857418488,0.04350980711267213,0.4,0.5454545454545454,0.8759006374313296,0.8175182481751825,0.8421052631578947,0.43389439086649484,25,21,0.44,0.8473282442748091,0.3677395585329603
E1_P6_MASTER_UNDER_dnn_ft,E1,P6_MASTER_UNDER,dnn_ft,0.3841958041958041,0.0029370629370629384,0.38461538461538464,0.38461538461538464,0.8531982485571046,0.7333333333333333,0.9924812030075187,0.3554527195286597,48,1,0.43,0.8349514563106796,0.45075565211487545
