panel,sutun,n_kaldirildi,f1,auc_roc,auc_pr,precision,recall,mcc,elapsed_sec
General,gnomad4__an,1,0.9384615384615385,0.9662735433902482,0.9845148378330728,0.9027484143763214,0.977116704805492,0.7889974370235027,22.2
General,gnomad4__nhomalt,1,0.9445073612684032,0.9672240802675586,0.9842366566646279,0.9349775784753364,0.954233409610984,0.8164094128332864,21.6
General,grantham_distance,1,0.9463087248322147,0.9685149328169922,0.9847247958619763,0.925601750547046,0.9679633867276888,0.8191906251543926,22.7
General,is_transition,1,0.9465478841870824,0.9697236402041894,0.9854661841794297,0.9219088937093276,0.9725400457665904,0.8192080285317811,23.1
General,phastcons__phastcons100_vert,1,0.9464285714285714,0.9715543038197499,0.9862239220339823,0.9237472766884531,0.9702517162471396,0.8191733484097982,21.7
General,phylop__phylop100_vert,1,0.9480812641083521,0.9707093821510298,0.9861494714169676,0.9354120267260579,0.9610983981693364,0.8273109490428098,22.2
General,polarity_change,1,0.9443813847900113,0.9701930411312563,0.9856184516813344,0.9369369369369369,0.9519450800915332,0.8167514688976032,22.0
Hereditary_Cancer,Baseline (tum ozellikler),0,0.9361702127659575,0.9810250391236307,0.9822490775526473,0.9428571428571428,0.9295774647887324,0.8741929339700124,8.6
Hereditary_Cancer,blosum62_alt_self,1,0.9324324324324325,0.9800469483568075,0.981008275151891,0.8961038961038961,0.971830985915493,0.8632566320727845,8.5
Hereditary_Cancer,blosum62_delta,1,0.9285714285714286,0.9814162754303599,0.9825233619746669,0.9420289855072463,0.9154929577464789,0.8604425049670408,8.5
Hereditary_Cancer,blosum62_ref_self,1,0.927536231884058,0.9812206572769953,0.982671736396438,0.9552238805970149,0.9014084507042254,0.8614285460751462,8.6
Hereditary_Cancer,blosum62_score,1,0.9315068493150684,0.9810250391236307,0.9814423305636429,0.9066666666666666,0.9577464788732394,0.8615360433104948,8.6
Hereditary_Cancer,chirality_shift,1,0.9305555555555556,0.9806338028169015,0.9817963463071891,0.9178082191780822,0.9436619718309859,0.8604969837959074,8.6
Hereditary_Cancer,conservation_product,1,0.9370629370629371,0.9771126760563381,0.9786451978302617,0.9305555555555556,0.9436619718309859,0.8742175273865415,8.6
Hereditary_Cancer,delta_charge,1,0.9343065693430657,0.9798513302034428,0.9816019117785001,0.9696969696969697,0.9014084507042254,0.8762054815538762,8.5
Hereditary_Cancer,delta_hydropathy,1,0.9305555555555556,0.9804381846635368,0.9814622683201405,0.9178082191780822,0.9436619718309859,0.8604969837959074,8.6
Hereditary_Cancer,delta_pi,1,0.9436619718309859,0.983568075117371,0.9846003455687857,0.9436619718309859,0.9436619718309859,0.8881064162754304,8.6
Hereditary_Cancer,delta_volume,1,0.9387755102040817,0.9823943661971831,0.9834266821758734,0.9078947368421053,0.971830985915493,0.8763246938571054,8.6
Hereditary_Cancer,gerp__gerp_nr,1,0.9295774647887324,0.9804381846635368,0.98149260641436,0.9295774647887324,0.9295774647887324,0.860133020344288,8.5
Hereditary_Cancer,gerp__gerp_rs,1,0.935251798561151,0.9767214397496087,0.9774827688899237,0.9558823529411765,0.9154929577464789,0.874853717996813,8.7
Hereditary_Cancer,gerp_x_phylop,1,0.9324324324324325,0.9833724569640063,0.9848340751549007,0.8961038961038961,0.971830985915493,0.8632566320727845,8.6
Hereditary_Cancer,gnomad4__af,1,0.8783783783783784,0.9350547730829422,0.9318545011696371,0.8441558441558441,0.9154929577464789,0.7510332699033224,8.6
Hereditary_Cancer,gnomad4__an,1,0.9295774647887324,0.9763302034428795,0.9769040228674626,0.9295774647887324,0.9295774647887324,0.860133020344288,8.5
Hereditary_Cancer,gnomad4__nhomalt,1,0.9370629370629371,0.9778951486697965,0.978972376670862,0.9305555555555556,0.9436619718309859,0.8742175273865415,8.7
Hereditary_Cancer,grantham_distance,1,0.9285714285714286,0.9818075117370892,0.9837560145343844,0.9420289855072463,0.9154929577464789,0.8604425049670408,8.7
Hereditary_Cancer,is_transition,1,0.9361702127659575,0.9827856025039124,0.9840937383596666,0.9428571428571428,0.9295774647887324,0.8741929339700124,8.9
Hereditary_Cancer,phastcons__phastcons100_vert,1,0.9379310344827586,0.9804381846635368,0.9805626005640025,0.918918918918919,0.9577464788732394,0.8749267509560219,8.8
Hereditary_Cancer,phylop__phylop100_vert,1,0.9379310344827586,0.9812206572769953,0.9819659401327634,0.918918918918919,0.9577464788732394,0.8749267509560219,8.7
Hereditary_Cancer,polarity_change,1,0.9315068493150684,0.9804381846635368,0.9813354238096759,0.9066666666666666,0.9577464788732394,0.8615360433104948,8.7
