panel,sutun,n_kaldirildi,f1,auc_roc,auc_pr,precision,recall,mcc,elapsed_sec,delta_f1,delta_auc
Hereditary_Cancer,chirality_shift,1,0.9305555555555556,0.9806338028169016,0.9817963463071891,0.9178082191780822,0.943661971830986,0.8604969837959074,8.6,-0.0056146572104019965,-0.0003912363067292146
Hereditary_Cancer,conservation_product,1,0.9370629370629372,0.977112676056338,0.9786451978302616,0.9305555555555556,0.943661971830986,0.8742175273865415,8.6,0.000892724296979619,-0.003912363067292812
Hereditary_Cancer,delta_charge,1,0.9343065693430656,0.9798513302034428,0.9816019117785,0.9696969696969696,0.9014084507042254,0.8762054815538762,8.5,-0.0018636434228920251,-0.001173708920187977
Hereditary_Cancer,delta_hydropathy,1,0.9305555555555556,0.9804381846635368,0.9814622683201404,0.9178082191780822,0.943661971830986,0.8604969837959074,8.6,-0.0056146572104019965,-0.0005868544600939885
Hereditary_Cancer,delta_pi,1,0.943661971830986,0.983568075117371,0.9846003455687856,0.943661971830986,0.943661971830986,0.8881064162754304,8.6,0.007491759065028414,0.0025430359937401725
Hereditary_Cancer,delta_volume,1,0.9387755102040816,0.9823943661971832,0.9834266821758734,0.9078947368421052,0.971830985915493,0.8763246938571054,8.6,0.002605297438123988,0.0013693270735524177
Hereditary_Cancer,gerp__gerp_nr,1,0.9295774647887324,0.9804381846635368,0.98149260641436,0.9295774647887324,0.9295774647887324,0.860133020344288,8.5,-0.0065927479772251996,-0.0005868544600939885
Hereditary_Cancer,gerp__gerp_rs,1,0.935251798561151,0.9767214397496088,0.9774827688899236,0.9558823529411764,0.9154929577464788,0.874853717996813,8.7,-0.0009184142048065391,-0.004303599374022027
Hereditary_Cancer,gerp_x_phylop,1,0.9324324324324323,0.9833724569640064,0.9848340751549008,0.8961038961038961,0.971830985915493,0.8632566320727845,8.6,-0.0037377803335252313,0.0023474178403756207
Hereditary_Cancer,gnomad4__af,1,0.8783783783783784,0.9350547730829422,0.9318545011696372,0.8441558441558441,0.9154929577464788,0.7510332699033224,8.6,-0.05779183438757918,-0.045970266040688657
Hereditary_Cancer,gnomad4__an,1,0.9295774647887324,0.9763302034428796,0.9769040228674626,0.9295774647887324,0.9295774647887324,0.860133020344288,8.5,-0.0065927479772251996,-0.0046948356807512415
Hereditary_Cancer,gnomad4__nhomalt,1,0.9370629370629372,0.9778951486697964,0.978972376670862,0.9305555555555556,0.943661971830986,0.8742175273865415,8.7,0.000892724296979619,-0.003129890453834383
Hereditary_Cancer,grantham_distance,1,0.9285714285714286,0.9818075117370892,0.9837560145343844,0.9420289855072465,0.9154929577464788,0.8604425049670408,8.7,-0.007598784194528974,0.0007824726134584292
Hereditary_Cancer,is_transition,1,0.9361702127659576,0.9827856025039124,0.9840937383596666,0.9428571428571428,0.9295774647887324,0.8741929339700124,8.9,0.0,0.0017605633802816323
Hereditary_Cancer,phastcons__phastcons100_vert,1,0.9379310344827586,0.9804381846635368,0.9805626005640024,0.918918918918919,0.9577464788732394,0.8749267509560219,8.8,0.001760821716801031,-0.0005868544600939885
Hereditary_Cancer,phylop__phylop100_vert,1,0.9379310344827586,0.9812206572769951,0.9819659401327634,0.918918918918919,0.9577464788732394,0.8749267509560219,8.7,0.001760821716801031,0.00019561815336432975
Hereditary_Cancer,polarity_change,1,0.9315068493150684,0.9804381846635368,0.981335423809676,0.9066666666666666,0.9577464788732394,0.8615360433104948,8.7,-0.004663363450889135,-0.0005868544600939885
