fe_mode,panel,model,thr_mode,threshold,train_f1,train_precision,train_recall,train_mcc,test_f1_5050,test_precision_5050,test_recall_5050,test_mcc_5050,test_f1_8020_mean,test_f1_8020_std,test_f1_8020_lo,test_f1_8020_hi,n_test
no_fe,PAH,stack_lr,f1_8020,0.55,0.8637566137566137,0.8908594815825375,0.8382541720154044,0.7138333701361332,0.9,0.9183673469387755,0.8823529411764706,0.46248422626170393,0.5125531666401232,0.06524757596750969,0.34833333333333333,0.5714285714285714,184
no_fe,PAH,stack_lr,mcc_8020,0.55,0.8637566137566137,0.8908594815825375,0.8382541720154044,0.7138333701361332,0.9,0.9183673469387755,0.8823529411764706,0.46248422626170393,0.5125531666401232,0.06524757596750969,0.34833333333333333,0.5714285714285714,184
no_fe,PAH,stack_gbm,f1_raw,0.38,0.9006785934608267,0.8669833729216152,0.9370988446726572,0.7753077577421464,0.8961038961038961,0.8903225806451613,0.9019607843137255,0.36319649792864134,0.44601577510365054,0.04396847148155866,0.3333333333333333,0.48484848484848486,184
no_fe,PAH,stack_gbm,f1_8020,0.73,0.8686440677966102,0.9654631083202512,0.7894736842105263,0.7579405564732747,0.8273381294964028,0.92,0.7516339869281046,0.3440779475140583,0.4836958867219737,0.10025120928766354,0.2192857142857143,0.6153846153846154,184
no_fe,PAH,stack_gbm,mcc_8020,0.73,0.8686440677966102,0.9654631083202512,0.7894736842105263,0.7579405564732747,0.8273381294964028,0.92,0.7516339869281046,0.3440779475140583,0.4836958867219737,0.10025120928766354,0.2192857142857143,0.6153846153846154,184
with_fe,CFTR,lightgbm,f1_raw,0.39,0.7840909090909091,0.7479674796747967,0.8238805970149253,0.5353924672689337,0.9302325581395349,0.975609756097561,0.8888888888888888,0.7159075429722652,0.7969523809523809,0.11277477404040297,0.46,0.8571428571428571,56
with_fe,CFTR,lightgbm,f1_8020,0.73,0.7242524916943521,0.8164794007490637,0.6507462686567164,0.5046285670667805,0.7567567567567568,0.9655172413793104,0.6222222222222222,0.4224470366424792,0.5801904761904761,0.23285540947840572,0.0,0.8571428571428571,56
with_fe,CFTR,lightgbm,mcc_8020,0.57,0.7708649468892261,0.7839506172839507,0.7582089552238805,0.5375558642043228,0.9176470588235294,0.975,0.8666666666666667,0.6822422923379534,0.7786666666666665,0.13616796350725924,0.4,0.8571428571428571,56
with_fe,CFTR,catboost,f1_raw,0.44,0.7874015748031497,0.7565337001375516,0.8208955223880597,0.5455278150706873,0.9156626506024096,1.0,0.8444444444444444,0.718365772233094,0.8939999999999999,0.158,0.5,1.0,56
with_fe,CFTR,catboost,f1_8020,0.59,0.7560975609756098,0.8303571428571429,0.6940298507462687,0.5497801031779876,0.875,1.0,0.7777777777777778,0.6382847385042254,0.814,0.21355093069335945,0.5,1.0,56
with_fe,CFTR,catboost,mcc_8020,0.59,0.7560975609756098,0.8303571428571429,0.6940298507462687,0.5497801031779876,0.875,1.0,0.7777777777777778,0.6382847385042254,0.814,0.21355093069335945,0.5,1.0,56
with_fe,CFTR,nn,f1_raw,0.37,0.7429746401644962,0.6869455006337135,0.808955223880597,0.4293271242090558,0.8735632183908046,0.9047619047619048,0.8444444444444444,0.44114940169152966,0.53,0.09333333333333334,0.29375,0.6,56
with_fe,CFTR,nn,f1_8020,0.43,0.7215094339622642,0.7297709923664122,0.7134328358208956,0.43453950067269875,0.8571428571428571,0.9230769230769231,0.8,0.4555973021063105,0.5804761904761905,0.1087852947912161,0.2857142857142857,0.6666666666666666,56
with_fe,CFTR,nn,mcc_8020,0.43,0.7215094339622642,0.7297709923664122,0.7134328358208956,0.43453950067269875,0.8571428571428571,0.9230769230769231,0.8,0.4555973021063105,0.5804761904761905,0.1087852947912161,0.2857142857142857,0.6666666666666666,56
with_fe,CFTR,dnn,f1_raw,0.36,0.746031746031746,0.669833729216152,0.8417910447761194,0.42204089928127686,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.6606060606060606,0.629047619047619,0.08054378677031261,0.5,0.6666666666666666,56
with_fe,CFTR,dnn,f1_8020,0.46,0.7094753328112764,0.7462932454695222,0.6761194029850747,0.434501418059747,0.875,1.0,0.7777777777777778,0.6382847385042254,0.8519999999999999,0.2041959842896035,0.5,1.0,56
with_fe,CFTR,dnn,mcc_8020,0.46,0.7094753328112764,0.7462932454695222,0.6761194029850747,0.434501418059747,0.875,1.0,0.7777777777777778,0.6382847385042254,0.8519999999999999,0.2041959842896035,0.5,1.0,56
with_fe,CFTR,nn_ft,f1_raw,0.35,0.8344640434192673,0.7649253731343284,0.917910447761194,0.6374703804746411,0.8705882352941177,0.925,0.8222222222222222,0.48325495707271704,0.5804761904761905,0.1087852947912161,0.2857142857142857,0.6666666666666666,56
with_fe,CFTR,nn_ft,f1_8020,0.45,0.8041901692183723,0.8739054290718039,0.744776119402985,0.6361449448949029,0.8205128205128205,0.9696969696969697,0.7111111111111111,0.5008583149450206,0.6609523809523807,0.18624831643306108,0.4,0.8571428571428571,56
with_fe,CFTR,nn_ft,mcc_8020,0.45,0.8041901692183723,0.8739054290718039,0.744776119402985,0.6361449448949029,0.8205128205128205,0.9696969696969697,0.7111111111111111,0.5008583149450206,0.6609523809523807,0.18624831643306108,0.4,0.8571428571428571,56
with_fe,CFTR,dnn_ft,f1_raw,0.4,0.8236101578586136,0.7623888182973316,0.8955223880597015,0.6140040024962831,0.896551724137931,0.9285714285714286,0.8666666666666667,0.5449492609130661,0.5623809523809523,0.1398809017223819,0.2857142857142857,0.6666666666666666,56
with_fe,CFTR,dnn_ft,f1_8020,0.44,0.8224719101123595,0.825563909774436,0.8194029850746268,0.6366136048591421,0.7948717948717948,0.9393939393939394,0.6888888888888889,0.40949653762605925,0.5449999999999999,0.18850603122850954,0.07500000000000002,0.75,56
with_fe,CFTR,dnn_ft,mcc_8020,0.44,0.8224719101123595,0.825563909774436,0.8194029850746268,0.6366136048591421,0.7948717948717948,0.9393939393939394,0.6888888888888889,0.40949653762605925,0.5449999999999999,0.18850603122850954,0.07500000000000002,0.75,56
with_fe,CFTR,stack_lr,f1_raw,0.43,0.8442503639010189,0.8238636363636364,0.8656716417910447,0.6722520665927457,0.9318181818181818,0.9534883720930233,0.9111111111111111,0.6862758217602037,0.6869047619047618,0.10608605799387719,0.3869047619047619,0.75,56
with_fe,CFTR,stack_lr,f1_8020,0.69,0.7993421052631579,0.8901098901098901,0.7253731343283583,0.6392301028936463,0.75,1.0,0.6,0.477059961531621,0.6819999999999999,0.26734995792032584,0.0,1.0,56
with_fe,CFTR,stack_lr,mcc_8020,0.69,0.7993421052631579,0.8901098901098901,0.7253731343283583,0.6392301028936463,0.75,1.0,0.6,0.477059961531621,0.6819999999999999,0.26734995792032584,0.0,1.0,56
with_fe,CFTR,stack_gbm,f1_raw,0.4,0.8877697841726618,0.8569444444444444,0.9208955223880597,0.7625088687939162,0.9069767441860465,0.9512195121951219,0.8666666666666667,0.6144117900445516,0.676190476190476,0.10816968277714809,0.3869047619047619,0.75,56
with_fe,CFTR,stack_gbm,f1_8020,0.78,0.8394222599830077,0.9743589743589743,0.7373134328358208,0.7350919566619526,0.6857142857142857,0.96,0.5333333333333333,0.3535824201784324,0.5226666666666666,0.24870560144571768,0.0,0.8571428571428571,56
with_fe,CFTR,stack_gbm,mcc_8020,0.78,0.8394222599830077,0.9743589743589743,0.7373134328358208,0.7350919566619526,0.6857142857142857,0.96,0.5333333333333333,0.3535824201784324,0.5226666666666666,0.24870560144571768,0.0,0.8571428571428571,56
with_fe,KANSER,lightgbm,f1_raw,0.4,0.7994875080076874,0.7761194029850746,0.8243064729194187,0.5645858020007178,0.917910447761194,0.9111111111111111,0.924812030075188,0.7317217385565573,0.6882240686143125,0.02470487232444047,0.65,0.7142857142857143,193
with_fe,KANSER,lightgbm,f1_8020,0.71,0.7489177489177489,0.8251192368839427,0.6856010568031704,0.5286839076322369,0.864,0.9230769230769231,0.8120300751879699,0.6271615690874409,0.6665723418894296,0.06509980630652194,0.5102272727272728,0.7692307692307693,193
with_fe,KANSER,lightgbm,mcc_8020,0.58,0.7811217510259918,0.8099290780141843,0.7542932628797886,0.558113425815486,0.896551724137931,0.9140625,0.8796992481203008,0.6819888714119233,0.675684518922003,0.0395740372164108,0.5945945945945946,0.7317073170731707,193
with_fe,KANSER,catboost,f1_raw,0.35,0.7967573827446439,0.709278350515464,0.9088507265521797,0.529106295138464,0.9154929577464789,0.8609271523178808,0.9774436090225563,0.7038223063468327,0.5797416566626652,0.014196714959011716,0.56,0.5882352941176471,193
with_fe,KANSER,catboost,f1_8020,0.57,0.7778566359119943,0.8404907975460123,0.7239101717305152,0.5740063695610762,0.8957528957528957,0.9206349206349206,0.8721804511278195,0.6859370719882576,0.689415630205104,0.03622880897191059,0.6195570570570571,0.75,193
with_fe,KANSER,catboost,mcc_8020,0.62,0.7540500736377025,0.8519134775374376,0.6763540290620872,0.5534649964709842,0.8695652173913043,0.9166666666666666,0.8270676691729323,0.6303142366279637,0.667464746412115,0.04221295363354877,0.5803571428571428,0.7427884615384615,193
with_fe,KANSER,nn,f1_raw,0.34,0.7632677400119261,0.6956521739130435,0.845442536327609,0.4537647501734554,0.8962962962962963,0.8832116788321168,0.9097744360902256,0.6558898420992199,0.6057854974387071,0.03691653276096518,0.5238095238095238,0.6521739130434783,193
with_fe,KANSER,nn,f1_8020,0.46,0.7351724137931035,0.7691197691197691,0.7040951122853368,0.47028635199964375,0.8661417322834646,0.9090909090909091,0.8270676691729323,0.61609713138381,0.6378324959839723,0.0471966339192499,0.5555555555555556,0.7245731707317072,193
