col,n,mean,std,mn,mx,q50,miss,nuniq,is_bin,prev,in01,has_neg,skew,lgroup
chasmplus_UCS__score,62696,0.042954351154778615,0.05665322665837109,0.0,0.907,0.033,0.012085782266832643,566,False,,True,False,7.680184268144265,OTHER
chasmplus_UVM__pval,62696,0.4315185458721449,0.19431547839438532,0.0,1.0,0.423,0.012085782266832643,221,False,,True,False,0.21549181656686786,OTHER
chasmplus_UVM__score,62696,0.035760925736889125,0.024878438811443058,0.0,0.892,0.031,0.012085782266832643,237,False,,True,False,5.745355538699157,OTHER
civic__id,134,1534.955223880597,794.9116834253917,9.0,4023.0,1762.0,0.9978885334761988,134,False,,False,False,0.4872431701354853,OTHER
civic__molecular_profile_score,134,19.776119402985074,23.732339469749718,0.0,127.5,11.25,0.9978885334761988,44,False,,False,False,2.3198780329641844,OTHER
clinpred__score,62320,0.3939006258023106,0.4480139982418394,0.0,1.0,0.071,0.01801049430376755,999,False,,True,False,0.4954861078567584,SCORE
clinpred__rankscore,62320,0.39450611968262805,0.4475664318100294,0.000999000999001,1.0,0.0719280719280719,0.01801049430376755,999,False,,True,False,0.4954861078567575,SCORE01
clinvar__id,63459,770771.2170220142,758141.4875633478,19.0,4747148.0,596785.0,6.302885145675433e-05,63449,False,,False,False,1.7771090044902755,OTHER
clinvar__af_go_esp,30236,0.05327469771133748,0.15537118445330714,8e-05,0.99992,0.00464,0.523564911838394,6687,False,,True,False,4.053287719976935,FREQ
clinvar__af_exac,38194,0.04080526391579829,0.1411602128418836,0.0,1.0,0.00134,0.3981690118651813,6696,False,,True,False,4.596897756968172,FREQ
clinvar__af_tgp,32488,0.05586659197242059,0.15856861262548805,0.0,1.0,0.00439,0.48807966846824136,2918,False,,True,False,3.914420747642644,FREQ
clinvar__clinvar_allele_id,63459,761780.5453599963,773059.2749826289,15058.0,4853640.0,580422.0,6.302885145675433e-05,63449,False,,False,False,1.9398911760704054,OTHER
clinvar__dbsnp_id,62431,427001084.862296,559714982.0976002,300.0,2552257876.0,146450609.0,0.01624568646297843,60147,False,,False,False,1.8195495565288924,OTHER
clinvar_acmg__ps1_id,6150,634206.8100813008,912517.1478961423,30.0,4803834.0,218949.5,0.9030931408852402,5757,False,,False,False,2.0262056971779216,OTHER
clinvar_acmg__pm5_id,7042,1075280.731752343,1271964.549528333,30.0,4814186.0,523117.5,0.889037707010384,5521,False,,False,False,1.2460516024081474,OTHER
cscape__score,58486,0.6600703965735389,0.21711204802955042,0.075381,0.993855,0.6937075,0.07842364842506658,55574,False,,True,False,-0.3745433548503282,OTHER
cscape_coding__score,58113,0.6599827962073891,0.2172431903469804,0.078263,0.993855,0.693913,0.08430108882340892,55227,False,,True,False,-0.37485618234445856,OTHER
